test_date,category,fund_name,hist_pick_ann,hist_pick_hit,hist_n_months,fwd_months,fwd_alpha_ann,random_alpha
May 2024,Large Cap,Edelweiss Large Cap Fund-Growth option,30.91,83.3,12,6,18.07,-10.52
May 2024,Large Cap,Mirae Asset Large Cap Fund,22.04,75.0,11,6,20.2,18.07
May 2024,Mid Cap,Edelweiss Mid Cap Fund,45.03,83.3,12,6,39.45,21.43
May 2024,Mid Cap,SBI MIDCAP FUND - DIRECT PLAN - GROWTH,32.32,83.3,11,6,23.51,1.72
May 2024,Small Cap,Edelweiss Small Cap Fund,43.3,75.0,12,6,31.98,20.84
May 2024,Small Cap,Tata Small Cap Fund-Direct Plan-Growth,21.83,75.0,12,6,26.26,20.84
May 2024,Flexi Cap,HDFC Flexi Cap Fund,51.19,88.9,8,6,26.08,15.87
May 2024,Flexi Cap,WhiteOak Capital Flexi Cap Fund Direct Plan-Growth,34.98,88.9,9,5,35.32,2.12
May 2024,Multi Cap,Edelweiss Multi Cap Fund,53.56,85.7,6,6,31.63,3.62
May 2024,Multi Cap,HDFC Multi Cap Fund,53.53,77.8,8,6,21.61,3.62
May 2024,Large & Mid Cap,HDFC Large and Mid Cap Fund,56.18,88.9,8,6,20.07,-48.9
May 2024,Large & Mid Cap,Edelweiss Large & Mid Cap Fund,36.08,91.7,12,6,29.04,-9.4
May 2024,Focused,Edelweiss Focused Fund,34.07,83.3,12,6,26.39,-1.95
May 2024,Focused,SBI FOCUSED FUND - DIRECT PLAN -GROWTH,27.39,66.7,11,6,18.18,1.05
May 2024,Value / Contrarian,SBI CONTRA FUND - DIRECT PLAN - GROWTH,42.52,83.3,11,6,16.39,15.18
May 2024,Value / Contrarian,Quant Value Fund ,38.37,70.0,10,6,-3.36,-0.89
May 2024,Tax Saver (ELSS),HDFC ELSS Tax saver,51.81,100.0,6,6,23.1,
May 2024,Tax Saver (ELSS),SBI ELSS Tax Saver FUND - DIRECT PLAN -GROWTH,49.24,83.3,11,6,21.71,24.61
May 2024,Thematic / Sectoral,HDFC Housing Opportunities Fund ,63.09,100.0,8,6,14.36,9.36
May 2024,Thematic / Sectoral,SBI HEALTHCARE OPPORTUNITIES FUND - DIRECT PLAN -GROWTH,43.67,83.3,11,6,42.24,3.62
May 2024,Balanced Advantage,HDFC Balanced Advantage Fund Plan,44.92,88.9,8,6,14.93,-0.25
May 2024,Balanced Advantage,Edelweiss Balanced Advantage Fund -Direct Plan-Growth Option,24.85,83.3,12,6,12.4,-7.31
May 2024,Hybrid,HDFC Hybrid Equity Fund,30.62,88.9,8,6,14.73,-1.69
May 2024,Hybrid,Edelweiss Aggressive Hybrid Fund-Direct Plan-Growth Option,31.21,83.3,12,6,20.71,-21.58
Jul 2024,Large Cap,Edelweiss Large Cap Fund-Growth option,32.47,85.7,14,6,0.63,-8.84
Jul 2024,Large Cap,Mirae Asset Large Cap Fund,25.63,78.6,13,6,3.13,-8.84
