direct_code,regular_code
118510,102883
118525,103360
118531,100471
118533,100473
118535,100520
118539,103151
118540,100526
118564,105817
118825,107578
118834,112932
119018,102000
119071,104481
119076,105875
119096,112901
119212,105989
119218,103819
119242,104772
119250,101635
119528,103174
119544,107745
119556,105804
119564,103309
119609,102885
119620,101592
119659,108167
119716,102941
119718,103215
119721,103024
119723,105628
119727,102756
119769,103040
119773,103339
119775,104908
119783,102823
119835,102414
120152,114458
120158,103234
120164,102875
120166,112090
120186,117620
120251,100356
120323,102594
120377,104685
120381,102528
120465,112277
120468,117560
120503,112323
120505,114564
120517,103155
120564,103166
120575,120576
120578,120577
120586,108466
120591,106823
120592,100354
120596,100349
120599,101228
120722,111957
125354,125350
125497,125494
129440,129438
131373,131372
131670,131666
132933,132924
132995,132998
133054,133051
133364,133361
133516,133513
134643,134644
135120,135122
135781,135784
136007,136004
136567,136563
140487,140488
141642,141644
141925,141927
143178,143176
144335,144333
145110,145112
145693,145695
145897,145896
146349,146346
146643,146644
147844,147846
148519,148518
148539,148537
148595,148594
148721,148719
148726,148723
148807,148805
148815,148811
148990,148989
149094,149089
149134,149132
149166,149167
149185,149182
149283,149281
149329,149328
149389,149390
149882,149886
149894,149896
149936,149938
150428,150427
150481,150480
150539,150538
150673,150672
150677,150676
151412,151414
151649,151647
151810,151812
152243,152245
152310,152307
152365,152366
152417,152418
152420,152419
152482,152481
152655,152656
152657,152658
152702,152703
152728,152726
152739,152738
152767,152765
152776,152774
152777,152775
152778,152779
152916,152918
152936,152934
152949,152950
152976,152978
153070,153069
153184,153181
153196,153198
153223,153221
153401,153399
153447,153449
153624,153621
153801,153802
153970,153969
154014,154012
154018,154016
154145,154148
122639,122640
147481,147482
149007,149003
152520,152518
151523,151527
119863,103159
119127,101703
118394,108765
120689,100741
120299,112077
148947,148948
120749,103026
118473,111569
133386,133385
120847,100175
132756,132757
120715,100821
118424,108594
120843,109830
144546,144548
118421,108592
122389,122387
120834,109275
147757,147760
149091,149090
118419,108596
147704,147701
119202,101824
120665,100664
118479,108799
150440,150441
120656,100651
150404,150402
127042,127039
120841,101065
149303,149305
120823,100631
151232,151235
153515,153516
152878,152877
151816,151818
153972,153974
118469,114476
152607,152606
153722,153721
150716,150717
153364,153365
152796,152794
153913,153916
152964,152966
153484,153482
153258,153256
152694,152692
153558,153561
153749,153751
151791,151788
151757,151758
152255,152256
152336,152338
148564,148560
151853,151855
151916,151913
152189,152190
152415,152413
148925,148923
152067,152070
135793,135794
149071,149068
135800,135797
119172,100415
150532,150537
135805,135804
153055,153059
135810,135812
119243,101766
147864,147867
135813,135815
120733,102401
120782,100807
120780,106425
152087,152086
153204,153205
147946,147944
152237,152232
145206,145208
148618,148617
118481,108909
149335,149337
120751,103098
140382,140381
119053,100414
120674,100684
118474,108845
153187,153188
153426,153428
145724,145723
120795,104075
118491,112353
120779,102535
139872,139870
151713,151714
146010,146007
151885,151882
118477,108995
153705,153707
119960,101906
144490,144484
152324,152326
120821,101072
148053,148054
120760,111599
118485,112332
118486,112327
154129,154130
118489,112329
154136,154135
148747,148748
148750,148749
145552,145551
150344,150345
151731,151732
149098,149100
153838,153839
149832,149833
153114,153113
118482,112877
152177,152179
153213,153212
152793,152792
152041,152043
152855,152856
153350,153349
152264,152266
152716,152717
150636,150633
150591,150592
153596,153597
147794,147795
152875,152876
153138,153137
151814,151815
153027,153026
153023,153022
153025,153024
153029,153028
147796,147797
148381,148382
154066,154064
153132,153134
152557,152560
152951,152954
152577,152574
151301,151306
152742,152746
153581,153580
150738,150741
152564,152567
153858,153855
152570,152573
152836,152834
152588,152590
152595,152596
143341,143340
151764,151763
149881,149880
149803,149802
151185,151184
151239,151238
148703,148704
152859,152858
151739,151738
153086,153087
153270,153271
153089,153088
150313,150312
153272,153273
152864,152865
151762,151761
154197,154198
119312,101491
120724,102267
152102,152103
119256,115944
119255,115943
135962,135964
140046,140045
140454,140455
141892,141893
131019,131020
141827,141828
141987,141990
142284,142285
142172,142169
141244,141246
141466,141464
141700,141698
140068,140066
143085,143086
135302,135303
135359,135360
135513,135511
135863,135860
136124,136122
136419,136420
140170,140171
140507,140508
140543,140544
140655,140656
141781,141782
141176,141173
141193,141195
141236,141240
141296,141289
141307,141311
