"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY 500","22,639.70","22,727.90","22,604.80","22,602.85","22,651.30","-","48.45","0.21","2,87,26,55,126","85,015.22","24,144.20","20,385.65","-1.48","0.25"
"HONASA","385.00","402.80","379.05","360.50","379.90","-","19.40","5.38","6,89,73,967","2,705.16","402.80","248.40","9.56","38.07"
"HDFCBANK","759.15","775.00","759.15","759.15","769.00","-","9.85","1.30","2,56,04,071","1,967.54","1,020.50","726.65","-3.86","-19.89"
"DIXON","11,285.00","11,860.00","11,261.00","11,258.00","11,720.00","-","462.00","4.10","13,62,732","1,593.15","18,471.00","9,600.00","4.02","-22.74"
"LICI","835.00","839.00","809.65","800.20","813.05","-","12.85","1.61","1,88,03,486","1,540.44","980.00","721.50","-0.91","-3.86"
"JSWCEMENT","130.10","142.50","130.10","127.46","136.80","-","9.34","7.33","10,84,81,624","1,503.45","162.15","106.65","7.11","-"
"ICICIBANK","1,242.00","1,270.80","1,242.00","1,242.80","1,267.20","-","24.40","1.96","1,16,01,085","1,466.77","1,500.00","1,187.60","-7.34","-12.13"
"MAXHEALTH","1,068.25","1,068.25","1,011.00","1,091.10","1,023.05","-","-68.05","-6.24","1,17,11,405","1,205.55","1,314.30","903.00","1.76","-10.90"
"BSE","4,200.00","4,232.00","4,151.50","4,186.90","4,194.10","-","7.20","0.17","24,89,857","1,044.40","4,298.90","2,021.50","19.86","79.84"
"IDEA","13.62","13.99","13.53","13.62","13.71","-","0.09","0.66","75,62,53,332","1,039.85","13.99","6.12","43.71","103.11"
"INFY","1,182.50","1,191.80","1,172.50","1,181.20","1,175.00","-","-6.20","-0.52","88,03,066","1,038.14","1,728.00","1,089.00","-7.38","-24.07"
"TRITURBINE","711.95","738.00","693.00","705.60","698.90","-","-6.70","-0.95","1,39,94,095","1,002.66","738.00","428.35","22.42","22.11"
"VBL","532.00","541.40","526.60","519.85","540.75","-","20.90","4.02","1,85,10,994","989.99","541.40","381.00","9.25","15.16"
"PREMIERENE","1,019.00","1,019.80","962.00","1,015.10","972.10","-","-43.00","-4.24","98,77,098","973.28","1,136.40","660.00","-1.89","-10.28"
"RELIANCE","1,350.00","1,367.40","1,349.10","1,349.60","1,358.00","-","8.40","0.62","71,05,813","964.43","1,611.80","1,290.00","-0.30","-3.65"
"BHARTIARTL","1,891.30","1,896.60","1,869.30","1,885.30","1,872.70","-","-12.60","-0.67","50,99,120","957.75","2,174.50","1,740.50","2.39","2.26"
"ITC","305.90","307.00","301.00","308.05","302.05","-","-6.00","-1.95","3,07,51,752","933.78","444.20","287.00","-1.13","-29.11"
"NAUKRI","932.00","985.00","920.10","926.25","964.50","-","38.25","4.13","93,64,081","899.42","1,550.00","914.80","-8.38","-33.98"
"MCX","3,333.30","3,357.30","3,257.30","3,322.80","3,275.00","-","-47.80","-1.44","27,10,869","890.85","3,480.00","1,250.40","17.67","157.06"
"NYKAA","283.50","285.60","269.05","274.50","276.50","-","2.00","0.73","3,16,87,149","876.28","285.60","191.16","6.37","37.26"
"WIPRO","200.00","205.40","198.83","199.74","202.97","-","3.23","1.62","4,00,14,399","813.49","273.10","186.50","-0.50","-17.47"
"M&M","3,095.00","3,131.70","3,072.60","3,099.00","3,085.00","-","-14.00","-0.45","24,07,171","746.02","3,839.90","2,896.00","-2.05","2.62"
"SBIN","950.90","958.60","947.70","950.90","949.60","-","-1.30","-0.14","78,07,192","743.56","1,234.70","779.10","-13.93","20.93"
"KAYNES","3,198.90","3,330.00","3,191.00","3,174.90","3,325.80","-","150.90","4.75","21,81,529","714.82","7,705.00","2,995.00","-25.41","-43.94"
"SAMMAANCAP","156.05","162.65","152.29","154.26","162.00","-","7.74","5.02","4,33,92,866","686.34","192.95","114.10","10.39","28.50"
"SUNPHARMA","1,903.00","1,903.00","1,833.10","1,891.30","1,840.00","-","-51.30","-2.71","36,10,732","670.86","1,916.60","1,548.00","10.19","7.06"
"HFCL","142.74","148.98","141.12","141.75","148.26","-","6.51","4.59","4,48,51,554","657.21","155.30","59.82","47.71","75.46"
"AXISBANK","1,254.10","1,288.80","1,254.10","1,253.30","1,287.00","-","33.70","2.69","50,16,900","642.30","1,418.30","1,042.50","-6.71","8.29"
"TCS","2,331.10","2,340.00","2,308.10","2,327.20","2,317.90","-","-9.30","-0.40","26,17,262","608.13","3,545.00","2,206.40","-8.69","-33.34"
"ETERNAL","243.18","245.80","241.21","242.05","242.80","-","0.75","0.31","2,35,37,777","572.11","368.45","212.60","-7.68","6.02"
"PAGEIND","39,420.00","40,490.00","38,320.00","38,380.00","39,300.00","-","920.00","2.40","1,41,220","554.60","50,590.00","29,805.00","3.82","-17.89"
"PINELABS","153.45","153.95","140.30","148.32","141.99","-","-6.33","-4.27","3,68,17,039","542.68","284.00","140.30","-28.20","-"
"AMBER","7,545.00","7,631.00","7,324.50","7,537.00","7,382.00","-","-155.00","-2.06","7,22,523","538.33","8,974.00","5,400.50","-5.40","12.50"
"LT","3,907.00","3,960.00","3,900.10","3,928.50","3,933.00","-","42.50","1.09","13,30,428","524.08","4,440.00","3,288.10","-2.19","10.75"
"SAIL","197.00","202.16","195.60","196.53","200.74","-","4.21","2.14","2,60,32,718","519.43","209.70","118.10","13.91","59.65"
"MARUTI","13,100.00","13,152.00","12,974.00","13,010.00","12,995.00","-","-15.00","-0.12","3,87,975","506.00","17,370.00","12,016.00","-2.56","4.42"
"SHRIRAMFIN","916.25","944.25","913.15","914.75","942.00","-","27.25","2.98","54,14,742","505.88","1,108.00","566.50","-9.82","44.98"
"BANKBARODA","263.45","266.95","262.75","263.10","266.80","-","3.70","1.41","1,88,28,819","498.76","325.50","230.52","-5.65","10.60"
"TATACOMM","1,899.80","1,979.00","1,884.50","1,896.30","1,957.00","-","60.70","3.20","24,40,357","476.87","2,004.00","1,322.50","28.33","17.37"
"APOLLOHOSP","8,308.50","8,440.50","8,255.00","8,308.50","8,350.00","-","41.50","0.50","5,64,876","472.45","8,440.50","6,696.50","8.98","20.07"
"MOTHERSON","137.30","139.01","134.30","137.00","136.30","-","-0.70","-0.51","3,43,27,232","467.54","139.01","89.70","3.45","37.96"
"VEDL","331.00","333.60","327.00","329.75","330.20","-","0.45","0.14","1,40,86,715","464.55","795.00","268.70","-56.38","-24.11"
"TRENT","4,189.00","4,314.90","4,157.30","4,170.40","4,303.00","-","132.60","3.18","10,87,977","463.79","6,261.00","3,275.50","-2.97","-19.45"
"TATASTEEL","209.60","210.88","208.26","208.58","209.35","-","0.77","0.37","2,20,23,114","460.77","224.40","149.80","-1.73","29.80"
"ADANIENSOL","1,365.00","1,391.80","1,363.10","1,342.20","1,366.00","-","23.80","1.77","33,44,194","459.37","1,463.65","744.90","-0.15","55.40"
"PAYTM","1,161.00","1,161.00","1,110.00","1,155.60","1,114.30","-","-41.30","-3.57","40,94,406","457.82","1,381.80","818.00","-4.12","34.50"
"NTPC","389.95","391.50","387.45","388.80","389.00","-","0.20","0.05","1,17,55,213","457.22","414.40","315.55","-4.05","13.94"
"HINDALCO","1,099.00","1,115.00","1,092.80","1,099.30","1,110.10","-","10.80","0.98","41,36,312","456.14","1,115.00","618.00","6.75","70.90"
"AUROPHARMA","1,520.00","1,520.00","1,445.80","1,546.70","1,468.00","-","-78.70","-5.09","30,38,819","446.27","1,550.00","1,016.10","3.29","23.55"
"POWERGRID","298.70","300.55","293.55","299.55","294.15","-","-5.40","-1.80","1,51,05,294","446.24","324.95","250.00","-8.01","1.12"
"BAJFINANCE","908.10","924.00","908.10","907.65","916.55","-","8.90","0.98","48,11,990","441.89","1,102.50","787.90","-1.95","0.29"
"POLICYBZR","1,815.00","1,825.00","1,756.20","1,819.30","1,798.00","-","-21.30","-1.17","24,14,312","431.04","1,978.00","1,364.00","10.59","1.94"
"POWERINDIA","36,585.00","36,700.00","35,415.00","36,450.00","35,640.00","-","-810.00","-2.22","1,18,548","425.01","36,750.00","15,870.00","17.49","105.77"
"ENGINERSIN","220.95","225.55","213.00","237.20","215.40","-","-21.80","-9.19","1,93,41,960","423.80","267.00","163.55","-12.29","7.32"
"COALINDIA","460.00","462.85","456.00","460.20","456.50","-","-3.70","-0.80","92,01,635","420.88","491.25","368.65","2.78","14.45"
"ASIANPAINT","2,606.10","2,664.70","2,600.20","2,598.80","2,636.70","-","37.90","1.46","15,56,434","412.31","2,985.70","2,115.00","2.88","14.68"
"DATAPATTNS","3,955.00","4,084.50","3,944.00","3,934.50","3,959.90","-","25.40","0.65","10,26,747","411.86","4,303.00","2,131.00","3.44","44.48"
"LENSKART","502.00","516.00","500.00","498.50","512.90","-","14.40","2.89","79,16,620","403.49","557.65","356.10","-5.71","-"
"KOTAKBANK","381.00","386.30","381.00","380.85","384.60","-","3.75","0.98","1,03,48,359","397.94","453.20","345.50","2.06","-6.91"
"ULTRACEMCO","11,531.00","11,650.00","11,511.00","11,474.00","11,588.00","-","114.00","0.99","3,40,427","394.57","13,110.00","10,325.00","-4.96","-0.79"
"GVT&D","4,810.00","4,912.40","4,764.00","4,794.60","4,848.00","-","53.40","1.11","7,96,078","386.88","4,962.40","1,770.60","14.36","161.62"
"ATGL","638.15","660.00","635.15","638.10","651.00","-","12.90","2.02","58,76,309","382.95","798.00","462.80","3.48","-1.07"
"BEL","421.45","421.45","415.45","420.40","416.50","-","-3.90","-0.93","91,75,611","382.93","473.45","361.20","-7.18","8.63"
"WAAREEENER","3,075.00","3,087.70","2,992.10","3,056.60","2,998.00","-","-58.60","-1.92","12,54,447","379.84","3,865.00","2,403.00","-12.54","0.04"
"ADANIPOWER","220.50","222.47","219.00","219.33","219.41","-","0.08","0.04","1,70,90,471","376.95","234.40","105.42","1.74","98.13"
"CENTRALBK","32.30","32.35","31.21","33.92","31.22","-","-2.70","-7.96","11,74,75,305","372.87","41.20","31.21","-15.46","-15.21"
"HAL","4,370.40","4,429.70","4,345.50","4,370.40","4,363.00","-","-7.40","-0.17","8,45,826","371.33","5,147.00","3,479.10","-0.85","-13.43"
"TMCV","380.00","389.00","374.55","379.90","385.00","-","5.10","1.34","97,63,844","371.27","509.00","306.30","-14.02","-"
"GLENMARK","2,390.00","2,413.90","2,226.30","2,393.00","2,250.80","-","-142.20","-5.94","15,93,969","364.16","2,474.00","1,370.00","0.48","57.24"
"EICHERMOT","6,925.00","7,041.00","6,908.50","6,892.00","6,985.00","-","93.00","1.35","5,12,596","358.14","8,230.00","5,219.50","-3.39","29.66"
"ANGELONE","341.95","345.65","335.65","339.65","339.45","-","-0.20","-0.06","1,03,07,977","351.10","345.65","208.63","3.31","16.51"
"COFORGE","1,378.00","1,401.90","1,369.70","1,377.00","1,383.00","-","6.00","0.44","24,94,600","346.12","1,994.00","1,008.10","11.91","-16.30"
"ONGC","295.80","296.80","289.40","295.85","289.95","-","-5.90","-1.99","1,15,63,330","337.11","307.50","228.61","2.22","19.98"
"BOSCHLTD","35,425.00","36,860.00","34,825.00","35,210.00","36,110.00","-","900.00","2.56","93,254","335.67","41,945.00","28,610.00","-4.69","13.77"
"WELCORP","1,281.90","1,306.80","1,252.20","1,330.20","1,273.40","-","-56.80","-4.27","25,67,700","327.36","1,377.40","710.00","11.78","66.08"
"SUZLON","53.17","53.95","53.00","52.87","53.90","-","1.03","1.95","6,07,60,806","324.83","74.30","38.19","-1.23","-11.65"
"JIOFIN","236.11","241.00","236.11","235.78","238.89","-","3.11","1.32","1,35,17,010","322.96","338.60","223.30","0.16","-12.99"
"BHEL","408.50","413.55","407.10","408.15","408.85","-","0.70","0.17","78,79,542","322.64","417.90","205.12","22.54","65.15"
"DEEPAKFERT","1,395.00","1,485.00","1,386.90","1,383.70","1,473.00","-","89.30","6.45","22,12,392","321.75","1,778.60","866.40","15.98","8.19"
"HYUNDAI","1,850.10","1,858.80","1,821.60","1,845.20","1,850.90","-","5.70","0.31","17,36,999","319.73","2,890.00","1,658.00","0.08","-0.18"
"FORCEMOT","19,475.00","20,454.00","19,252.00","19,339.00","19,880.00","-","541.00","2.80","1,59,448","316.45","26,450.00","10,158.50","-8.68","89.08"
"TVSMOTOR","3,380.00","3,443.40","3,380.00","3,380.70","3,425.40","-","44.70","1.32","9,24,915","316.01","3,970.00","2,655.10","-6.43","22.21"
"TITAN","4,057.20","4,113.80","4,054.10","4,083.10","4,099.00","-","15.90","0.39","7,68,112","313.90","4,605.00","3,303.10","-7.98","15.76"
"HSCL","596.00","597.40","579.35","590.55","582.00","-","-7.75","-1.31","51,85,493","306.04","654.45","418.50","11.26","22.60"
"HINDUNILVR","2,180.00","2,224.50","2,175.40","2,179.00","2,205.00","-","26.00","1.19","13,82,889","304.76","2,750.00","2,022.50","-6.91","-5.39"
"GAIL","153.00","162.70","151.41","155.90","162.20","-","6.30","4.04","1,91,57,978","302.10","202.79","134.36","-2.36","-15.79"
"INDIGO","4,425.10","4,460.00","4,399.60","4,403.00","4,432.00","-","29.00","0.66","6,75,234","299.26","6,232.50","3,895.20","-4.50","-19.46"
"ADANIENT","2,710.20","2,745.00","2,706.10","2,697.60","2,719.10","-","21.50","0.80","10,94,843","298.30","2,803.10","1,753.00","20.27","12.59"
"ASHOKLEY","155.00","158.74","154.05","154.48","158.00","-","3.52","2.28","1,86,94,921","292.63","215.42","114.96","-11.72","32.33"
"GRASIM","3,178.00","3,187.60","3,142.00","3,154.50","3,160.00","-","5.50","0.17","9,06,466","286.80","3,187.60","2,502.50","13.81","18.15"
"SOLARINDS","18,400.00","18,479.00","18,055.00","18,392.00","18,090.00","-","-302.00","-1.64","1,56,707","285.35","18,699.00","11,646.00","18.45","20.54"
"OLAELEC","35.89","36.83","35.32","35.51","35.92","-","0.41","1.15","7,81,71,002","282.28","71.25","22.25","-6.53","-30.21"
"LUPIN","2,297.00","2,304.50","2,270.00","2,284.50","2,270.70","-","-13.80","-0.60","12,25,221","279.88","2,494.00","1,836.80","-1.61","15.34"
"GROWW","189.00","189.99","186.69","188.37","187.99","-","-0.38","-0.20","1,45,81,540","274.26","227.20","112.00","-13.73","-"
"ATHERENERG","898.00","907.95","874.10","889.30","883.00","-","-6.30","-0.71","30,39,687","269.30","989.40","301.00","-2.48","181.97"
"ADANIPORTS","1,793.30","1,802.30","1,780.50","1,793.30","1,785.00","-","-8.30","-0.46","14,87,044","266.33","1,823.90","1,290.50","12.36","30.16"
"BRITANNIA","5,341.00","5,358.50","5,298.00","5,333.00","5,336.00","-","3.00","0.06","4,98,183","265.22","6,336.00","5,279.50","-6.87","-1.87"
"DRREDDY","1,319.00","1,329.60","1,305.10","1,318.50","1,310.00","-","-8.50","-0.64","20,02,451","262.71","1,379.70","1,148.40","7.64","7.18"
"TMPV","364.50","365.65","361.75","361.35","363.95","-","2.60","0.72","69,34,910","251.97","744.00","294.30","0.58","-49.27"
"ABB","6,600.50","6,741.00","6,594.00","6,598.00","6,697.50","-","99.50","1.51","3,71,775","248.17","7,822.50","4,637.50","-11.72","13.06"
"HINDZINC","631.80","643.60","629.90","628.05","631.15","-","3.10","0.49","38,70,439","245.56","733.00","413.50","4.37","42.67"
"HINDCOPPER","557.00","560.00","545.00","552.15","547.00","-","-5.15","-0.93","44,38,011","243.80","760.05","222.61","-1.79","141.54"
"DIVISLAB","6,858.00","6,960.50","6,790.00","6,858.00","6,900.00","-","42.00","0.61","3,54,149","243.66","7,071.50","5,636.50","9.78","5.54"
"CANBK","127.99","128.78","127.66","127.97","128.50","-","0.53","0.41","1,86,34,807","238.75","162.89","103.55","-11.52","20.27"
"HCLTECH","1,169.90","1,176.00","1,159.90","1,168.20","1,167.00","-","-1.20","-0.10","20,44,782","238.32","1,780.10","1,103.40","-9.20","-28.54"
"ADANIGREEN","1,364.00","1,381.80","1,359.00","1,358.20","1,361.50","-","3.30","0.24","16,81,359","230.51","1,471.00","765.00","13.56","38.10"
"LGEINDIA","1,485.00","1,499.90","1,462.40","1,530.20","1,483.00","-","-47.20","-3.08","15,48,242","229.86","1,749.00","1,304.10","-7.79","-"
"SCI","327.25","333.40","314.20","327.25","315.55","-","-11.70","-3.58","71,39,885","229.65","368.75","178.60","5.93","60.90"
"NETWEB","3,825.00","3,891.00","3,820.10","3,813.20","3,847.00","-","33.80","0.89","5,94,081","229.19","4,492.00","1,700.10","-4.29","112.46"
"PERSISTENT","5,038.00","5,050.10","4,925.00","5,019.00","4,985.00","-","-34.00","-0.68","4,59,525","228.95","6,599.00","4,449.10","-1.74","-10.70"
"LAURUSLABS","1,355.70","1,355.70","1,332.10","1,351.00","1,340.00","-","-11.00","-0.81","16,98,593","228.20","1,373.90","584.50","22.25","126.87"
"JUBLFOOD","435.00","439.65","428.65","435.65","435.90","-","0.25","0.06","51,99,265","226.04","718.95","408.80","-11.60","-35.35"
"MEESHO","192.01","199.90","192.01","192.49","198.10","-","5.61","2.91","1,13,44,543","224.24","254.40","125.56","11.12","-"
"BAJAJ-AUTO","10,667.00","10,753.00","10,537.00","10,667.00","10,566.00","-","-101.00","-0.95","2,07,805","220.25","10,785.00","7,858.50","10.04","20.98"
"HONAUT","34,900.00","36,550.00","34,605.00","34,965.00","35,300.00","-","335.00","0.96","61,734","219.78","41,450.00","26,220.00","7.93","-4.80"
"BANDHANBNK","191.08","196.87","190.42","191.08","194.50","-","3.42","1.79","1,12,98,203","219.60","212.66","134.25","10.19","17.45"
"KEI","5,262.50","5,325.00","5,232.60","5,237.00","5,285.00","-","48.00","0.92","4,10,075","216.78","5,325.00","3,411.40","7.64","52.83"
"TATACONSUM","1,198.00","1,204.00","1,189.10","1,194.90","1,192.00","-","-2.90","-0.24","18,08,205","216.20","1,282.70","1,007.20","1.14","5.80"
"HDFCLIFE","619.00","620.70","614.35","614.35","615.00","-","0.65","0.11","34,81,863","215.13","820.75","555.10","1.81","-18.63"
"KALYANKJIL","355.00","359.45","351.00","353.00","352.00","-","-1.00","-0.28","59,89,566","212.56","617.70","337.00","-15.03","-36.47"
"PRESTIGE","1,408.50","1,408.80","1,343.50","1,385.60","1,381.90","-","-3.70","-0.27","14,91,323","205.29","1,814.00","1,090.00","-1.68","-2.66"
"LTM","4,135.00","4,139.20","4,000.00","4,129.70","4,008.20","-","-121.50","-2.94","4,99,528","202.55","6,429.50","3,907.30","-12.95","-20.21"
"SIEMENS","3,720.60","3,834.00","3,714.00","3,720.60","3,812.20","-","91.60","2.46","5,34,453","202.40","3,930.00","2,826.00","-0.84","15.36"
"GLAND","2,353.50","2,363.50","2,307.20","2,331.00","2,325.00","-","-6.00","-0.26","8,64,270","201.80","2,370.00","1,456.20","29.12","50.33"
"CHOLAFIN","1,514.70","1,548.00","1,503.00","1,504.00","1,541.00","-","37.00","2.46","12,87,931","197.31","1,831.50","1,299.40","-1.57","-5.28"
"RVNL","271.50","273.95","267.70","270.75","272.00","-","1.25","0.46","72,45,031","196.57","442.80","248.00","-11.52","-32.82"
"GODREJCP","1,023.80","1,030.00","1,006.00","1,017.30","1,028.30","-","11.00","1.08","19,05,091","193.97","1,309.00","967.05","-9.76","-18.65"
"PIIND","2,750.90","2,821.30","2,742.00","2,740.50","2,780.10","-","39.60","1.44","6,96,886","193.83","4,330.00","2,700.00","-9.07","-23.72"
"FEDERALBNK","284.15","288.40","283.20","283.75","286.75","-","3.00","1.06","67,56,952","193.34","302.00","185.11","-3.27","42.54"
"OFSS","9,770.00","9,770.00","9,454.50","9,730.50","9,518.00","-","-212.50","-2.18","2,00,614","191.32","9,999.00","6,234.50","17.12","14.76"
